"numberplate-search__image-text","mb-0"
"RBE 118","RM 9,900"
"RBE 17","RM 24,900"
"PRQ 20","RM 13,900"
"PGH 9","RM 139,800"
"NEG 9889","RM 4,300"
"NEG 909","RM 4,300"
"NEJ 6868","RM 4,900"
"NEB 4848","RM 3,900"
"MEE 9988","RM 6,800"
"JXX 7887","RM 4,800"
"JYS 9000","RM 5,300"
"JYS 797","RM 5,000"
"JND 99","RM 59,800"
"FFF 35","RM 59,800"
"FH 8898","RM 10,800"
"FH 9889","RM 11,800"
"DFK 838","RM 4,800"
"DFP 12","RM 17,900"
"DDC 8888","RM 29,800"
"DBJ 99","RM 44,800"
"CFF 1668","RM 6,300"
"CFC 9889","RM 5,300"
"CFF 85","RM 14,800"
"CFF 62","RM 13,800"
"BSF 8828","RM 5,300"
"APB 9966","RM 4,300"
"BSU 9191","RM 3,800"
"BSU 8282","RM 3,800"
"BSU 8181","RM 3,800"
"BSU 1717","RM 3,800"
"BSU 91","RM 11,800"
"CFC 23","RM 25,800"
"T10","RM 988,000"
"EV 45","RM 49,800"
"RH38","RM 68,800"
"VQA3123","RM 1,000"
"MK 2188","RM 6,300"
"JYP 99","RM 52,800"
"JYV 88","RM 52,800"
"JYN 88","RM 49,800"
"CS8888","RM 68,800"
"CES111","RM 12,800"
"BSU38","RM 9,800"
"BSU22","RM 19,800"
"BSU7777","RM 10,800"
"BSU89","RM 9,800"
"TDG18","RM 17,800"
"TDG26","RM 10,800"
"TDG7777","RM 10,800"
"VQU26","RM 11,800"
"VQU1111","RM 11,800"
"JYV 9988","RM 3,800"
"JYV 6888","RM 3,800"
"JYV 2288","RM 3,800"
"JYV 3131","RM 3,300"
"JYV 2233","RM 3,300"
"JYV 1188","RM 4,300"
"JYV 1000","RM 4,300"
"JYV 966","RM 3,800"
"JYV 898","RM 4,300"
"JYV 828","RM 4,300"
"JYV 805","RM 3,800"
"JYV 688","RM 4,800"
"JYV 393","RM 3,300"
"JYV 199","RM 3,800"
"JYV 116","RM 3,300"
"JYV 67","RM 8,800"
"KS 3188","RM 8,500"
"JYV5555","RM 7,800"
"JYV16","RM 14,800"
"VDL 7777","RM 19,800"
"AEN 222","RM 18,800"
"DET 57","RM 19,800"
"NBOS 66","RM 66,000"
"NCT 87","RM 16,800"
"VAJ 5555","RM 12,800"
"W58R","RM 18,800"
"PPM 8888","RM 19,800"
"VBW 2222","RM 14,800"
"VKD 2222","RM 14,800"
"PNB22","POA"
"WD138","POA"
"KEE28","POA"
"V3388","POA"
"DT11","POA"
"DP 33","POA"
"PNB9999","POA"
"JA19","POA"
"JTB555","RM 16,800"
"VMV 3308","RM 1,000"
"VMV 3232","RM 3,300"
"VMV 3211","RM 1,000"
"VMV 3183","RM 1,000"
"VMV 3166","RM 1,300"
"VMV 3122","RM 1,300"
"VMV 3121","RM 1,000"
"VMV 3006","RM 1,300"
"VMV 3002","RM 1,000"
"VMV 2982","RM 1,000"
"VMV 2922","RM 1,600"
"VMV 291","RM 1,600"
"VMV 2867","RM 1,000"
"VMV 2725","RM 1,000"
"VMV 2627","RM 1,000"
"VMV 2624","RM 1,000"
"VMV 242","RM 2,800"
"VMV 2398","RM 1,000"
"VMV 2340","RM 1,000"
"VMV 2267","RM 1,000"
"VMV 2256","RM 1,000"
"VMV 2255","RM 2,800"
"VMV 2181","RM 1,000"
"VMV 2161","RM 1,000"
"VMV 2131","RM 1,000"
"VMV 2115","RM 1,000"
"VMV 2109","RM 1,000"
"VMV 205","RM 1,600"
"VMV 2034","RM 1,000"
"VMV 2024","RM 1,000"
"VMV 2023","RM 1,000"
"VMV 2005","RM 1,000"
"VMV 1987","RM 1,300"
"VMV 1972","RM 1,000"
"VMV 1970","RM 1,000"
"VMV 1962","RM 1,000"
"VMV 1941","RM 1,000"
"VMV 1931","RM 1,000"
"VMV 1925","RM 1,000"
"VMV 1892","RM 1,000"
"VMV 1886","RM 1,300"
"VMV 1882","RM 1,300"
"VMV 1861","RM 1,000"
"VMV 1819","RM 1,000"
"VMV 1778","RM 1,000"
"VMV 1775","RM 1,000"
"VMV 170","RM 1,600"
"VMV 1689","RM 1,000"
"VMV 1638","RM 1,300"
"VMV 162","RM 1,600"
"VMV 1609","RM 1,000"
"VMV 1603","RM 1,000"
"VMV 1582","RM 1,000"
"VMV 1566","RM 1,000"
"VMV 1565","RM 1,000"
"VMV 1498","RM 1,000"
"VMV 1419","RM 1,000"
"VMV 1356","RM 1,000"
"VMV 1339","RM 1,000"
"VMV 1317","RM 1,000"
"VMV 1412","RM 1,000"
"VMV 1298","RM 1,000"
"JYV1111","RM 11,900"
"MDV 53","RM 6,800"
"CEN 28","RM 22,800"
"VMV 1233","RM 1,300"
"VMV 1180","RM 1,000"
"VMV 1175","RM 1,000"
"VMV 1171","RM 1,600"
"VMV 1134","RM 1,600"
"VMV 1106","RM 1,600"
"VMV 107","RM 1,600"
"VMV 1029","RM 1,000"
"VMV 1017","RM 1,000"
"VMV 1014","RM 1,000"
"VMV 9820","RM 1,000"
"VMV 8727","RM 1,000"
"VMV 7058","RM 1,000"
"VMV 5909","RM 1,000"
"VMV 8481","RM 1,000"
"VMV 7874","RM 1,000"
"VMV 7055","RM 1,000"
"VMV 6294","RM 1,000"
"VMV 8955","RM 1,000"
"VMV 9752","RM 1,000"
"VMV 7725","RM 1,000"
"VMV 5911","RM 1,000"
"VMV 4973","RM 1,000"
"VMV 4943","RM 1,000"
"VMV 4260","RM 1,000"
"VMV 4098","RM 1,000"
"VMV 9638","RM 1,000"
"VMV 9525","RM 1,000"
"VMV 9266","RM 1,300"
"VMV 8907","RM 1,000"
"VMV 8629","RM 1,000"
"VMV 8147","RM 1,000"
"VMV 6081","RM 1,000"
"VMV 5672","RM 1,000"
"VMV 5245","RM 1,000"
"AMH33","RM 29,300"
"SP 992","RM 7,800"
"AMH13","RM 19,300"
"PRB 3","RM 88,000"
"CBS 77","RM 26,800"
"KFH 7","RM 85,000"
"QPB7","RM 73,000"
"SU7J","RM 57,000"
"QCF 7","RM 73,000"
"SK7C","RM 57,000"
"QAB1J","RM 168,000"
"SU5M","RM 63,800"
"SWD 7","RM 83,000"
"TCG7","RM 85,000"
"SU5J","RM 53,800"
"AMH 7","RM 85,000"
"BSU500","RM 4,300"
"JYV500","RM 5,900"
"VDF 8877","RM 4,000"
"ALY61","RM 9,888"
"PRS7777","RM 8,800"
"VGY91","RM 8,900"
"TAN65","POA"
"MY 6262","POA"
"JBL72","POA"
"APD6","RM 73,500"
"MAY 36","RM 59,800"
"JPR9","RM 198,000"
"APF886","RM 3,800"
"SK9888E","RM 2,800"
"JUW52","RM 8,800"
"UA48","RM 26,800"
"FD34","RM 28,800"
"FD46","RM 28,800"
"FH1993","RM 3,800"
"A1993A","RM 6,800"
"BSU666","RM 12,666"
"VP? 9","RM 148,000"
"BST666","RM 12,999"
"SAB1B","RM 259,999"
"APK 6","RM 73,800"
"JAM 82","RM 12,800"
"KGF 89","RM 9,300"
"KN 29","RM 39,800"
"JUD 730","RM 2,200"
"SJ 666","RM 39,800"
"WJH 80","RM 8,800"
"JML 69","RM 15,800"
"KFG 6","RM 79,800"
"DQ 2222","RM 32,800"
"TDG 82","RM 8,300"
"TDG 9999","RM 13,300"
"VQU 31","RM 11,300"
"VQU 666","RM 14,300"
"VQU 333","RM 17,800"
"VQU 55","RM 21,800"
"QRL 22","RM 19,300"
"KN 778","RM 6,800"
"NM 161","RM 7,300"
"RBE 78","RM 8,300"
"VFR 71","RM 7,300"
"QM 33 T","RM 18,800"
"ME 6333","RM 5,888"
"PHH 4444","RM 11,800"
"TAQ 999","RM 26,800"
"TAH 999","RM 31,800"
"CFE 333","RM 18,800"
"MEE 111","RM 89,800"
"WAF 99","RM 53,800"
"TU 88","RM 209,800"
"QMS 66","RM 26,800"
"VMW 11","RM 53,800"
"CK 808","RM 29,800"
"RR 3456","RM 13,800"
"GOLD 36","RM 89,800"
"VIP 4844","RM 4,800"
"ALL 9319","RM 11,800"
"PSA 9969","RM 4,800"
"JYS 6999","RM 3,900"
"KB 991","RM 16,800"
"RC 886","RM 16,800"
"KX 882","RM 13,800"
"MR 331","RM 26,800"
"WH 303","RM 23,800"
"NT 285","RM 10,800"
"GM 155","RM 17,800"
"R 8828","RM 29,800"
"R 8765","RM 26,800"
"R 1987","RM 29,800"
"Q 583","RM 23,800"
"CCC 8181","RM 23,800"
"APF 1313","RM 6,800"
"NY 1010","RM 19,800"
"BBB 991","RM 26,800"
"TAN 775","RM 26,800"
"SMU 724","RM 3,900"
"SJP 702","RM 3,900"
"DFL 548","RM 3,900"
"RAY 505","RM 13,800"
"AMK 403","RM 3,900"
"SB 442 K","RM 3,900"
"PES 417","RM 10,800"
"BBB 366","RM 26,800"
"SA 199 A","RM 15,800"
"RBB 101","RM 8,800"
"SJQ 86","RM 12,800"
"PPN 86","RM 21,800"
"JYQ 86","RM 18,800"
"MF 82","RM 49,800"
"PNU 80","RM 11,800"
"QAB 68 C","RM 11,800"
"QLD 58","RM 9,800"
"VQK 31","RM 13,800"
"PSB 31","RM 12,800"
"APB 26","RM 14,800"
"CEN 20","RM 14,800"
"TDF 13","RM 18,900"
"XIASEAN 9","RM 219,800"
"VCQ 8","RM 109,800"
"BSQ 5","RM 99,800"
"DT 4","RM 259,800"
"WNQ 1","RM 468,800"
"BPM 1","RM 468,800"
"AHF 1","RM 499,800"
"ANU 1","RM 468,800"
"PKD 33","RM 25,000"
"PKB 3","RM 98,000"
"CAT13","RM 68,000"
"APK 6","RM 76,800"
"TBB8","RM 268,000"
"VPP 9","RM 268,000"
"PPU9","RM 198,000"
"BMW33","RM 138,000"
"PMM 9","RM 268,000"
"ALS 8","RM 128,000"
"VMK 8999","RM 3,500"
"TCH 1333","RM 2,300"
"PPC 95","RM 13,800"
"ALY 43","RM 9,800"
"RL 2555","RM 7,900"
"R128","RM 51,800"
"TS733","RM 10,900"
"DN 8868","RM 14,800"
"JQ2368","RM 3,900"
"MU831","RM 7,900"
"DR7630","RM 5,800"
"KF33Q","RM 28,800"
"AT 8898","RM 13,800"
"VMT 2727","RM 4,800"
"AJY 99","RM 39,800"
"WGL 18","RM 28,800"
"WLK 9","RM 178,000"
"WTV 8","RM 148,000"
"TDG 22","RM 25,800"
"VQU 9998","RM 4,300"
"VQU 9966","RM 3,800"
"VQU 9889","RM 4,300"
"VQU 9339","RM 4,300"
"VQU 8999","RM 4,500"
"VQU 8998","RM 4,500"
"VQU 8988","RM 3,800"
"VQU 8899","RM 4,500"
"VQU 8228","RM 4,500"
"VQU 6868","RM 4,500"
"VQU 3388","RM 4,300"
"VQU 3377","RM 3,800"
"VQU 2882","RM 3,800"
"VQU 2727","RM 4,500"
"VQU 2299","RM 3,800"
"VQU 2211","RM 3,800"
"VQU 1688","RM 4,300"
"VQU 1515","RM 3,800"
"VQU 1188","RM 4,800"
"VQU 889","RM 4,300"
"VQU 881","RM 3,500"
"VQU 878","RM 3,800"
"VQU 868","RM 5,500"
"VQU 818","RM 5,500"
"VQU 788","RM 3,500"
"VQU 737","RM 4,800"
"VQU 727","RM 4,800"
"VQU 628","RM 3,500"
"VQU 626","RM 3,800"
"VQU 318","RM 3,500"
"VQU 268","RM 3,800"
"VQU 168","RM 9,800"
"VQU 138","RM 4,800"
"VQU 128","RM 4,800"
"VQU 115","RM 3,800"
"VQU 93","RM 12,800"
"VQU 78","RM 11,800"
"VQU 68","RM 17,800"
"VQU 63","RM 14,800"
"VQU 777","RM 21,800"
"VQU 66","RM 30,800"
"RBE 9966","RM 3,800"
"RBE 9889","RM 4,300"
"RBE 9339","RM 3,800"
"RBE 8999","RM 3,800"
"RBE 8998","RM 4,300"
"RBE 8899","RM 4,500"
"RBE 6888","RM 3,800"
"RBE 6688","RM 4,500"
"RBE 6668","RM 3,800"
"RBE 3003","RM 3,800"
"RBE 1688","RM 4,300"
"RBE 889","RM 4,300"
"RBE 800","RM 4,300"
"RBE 737","RM 4,300"
"RBE 585","RM 3,800"
"RBE 282","RM 3,800"
"RBE 268","RM 3,800"
"RBE 168","RM 8,800"
"RBE 138","RM 4,800"
"RBE 98","RM 13,800"
"RBE 49","RM 7,800"
"RBE 12","RM 20,800"
"WCC 8","RM 299,800"
"JAY 1217","RM 3,300"
"VME 6800","RM 1,000"
"VNG 6800","RM 1,000"
"VNQ 6800","RM 1,000"
"VMS 6628","RM 1,200"
"VMF 6628","RM 1,200"
"VNM 7111","RM 1,600"
"VMQ 3636","RM 3,300"
"VKB 3636","RM 3,300"
"A41A","RM 118,800"
"FH 13","RM 93,800"
"Y 9999","RM 228,800"
"F 999","POA"
"SS 999 M","RM 45,800"
"SJ 555","RM 55,800"
"WJ 111","RM 75,800"
"AU 99","POA"
"KC 88","POA"
"JYF 77","RM 39,800"
"JJD 77","RM 59,800"
"VMY 599","RM 1,600"
"QDD 55","RM 68,800"
"VMK 2238","RM 1,200"
"VNF 2238","RM 1,200"
"ALG 55","RM 31,800"
"VNB 3393","RM 1,200"
"A 44 A","RM 218,800"
"ANE 11","RM 58,800"
"JGK 11","RM 68,800"
"JJB 11","RM 138,800"
"KT 10","POA"
"PJ 8","POA"
"CFC 7","RM 158,800"
"PLR61","RM 9,999"
"A7A","POA"
"XX 7","POA"
"XX 5","POA"
"PPP 5","POA"
"BBB 5","POA"
"VQA 3","RM 118,800"
"UNISZA 2","RM 88,800"
"BBB 2","POA"
"A2A","POA"
"SJR 80","RM 9,800"
"PSD 77","RM 28,800"
"PSD 22","RM 23,800"
"APK 91","RM 8,800"
"APK 25","RM 9,800"
"PLG 19","RM 28,800"
"KGF 55","RM 19,800"
"VQS 37","RM 9,800"
"TDG 89","RM 10,800"
"TDG 31","RM 10,800"
"DFP 19","RM 16,800"
"VQT 9999","RM 16,800"
"VQU 21","RM 13,800"
"FH 22","RM 128,800"
"QMJ 100","RM 7,800"
"JUP 26","RM 18,800"
"QS22C","RM 23,800"
"UTM 81","RM 16,800"
"VBC 70","RM 10,800"
"JTJ 57","RM 12,800"
"VLG 5555","RM 10,800"
"JSF 3000","RM 4,300"
"VKN 81","RM 10,800"
"VJS 81","RM 10,800"
"BNA 81","RM 10,800"
"DFP 2","RM 98,000"
"PRY 2","RM 95,000"
"WQR 2222","RM 7,800"
"VIP 589","RM 8,900"
"MDY 1","RM 398,800"
"KGF 18","RM 20,800"
"APK 9998","RM 3,300"
"APK 9888","RM 3,300"
"APK 8999","RM 3,300"
"APK 8989","RM 3,300"
"APK 8899","RM 3,300"
"APK 8889","RM 2,900"
"APK 6000","RM 3,300"
"APK 3000","RM 3,300"
"APK 2828","RM 3,300"
"APK 2323","RM 3,300"
"APK 2288","RM 3,300"
"APK 2233","RM 3,300"
"APK 990","RM 2,900"
"APK 989","RM 3,300"
"APK 933","RM 2,900"
"APK 883","RM 3,300"
"APK 838","RM 3,300"
"APK 788","RM 2,900"
"APK 699","RM 2,900"
"APK 669","RM 2,900"
"APK 663","RM 2,900"
"APK 633","RM 2,900"
"APK 338","RM 3,300"
"APK 331","RM 3,300"
"APK 116","RM 2,900"
"APK 110","RM 2,900"
"PSD 9000","RM 3,300"
"PSD 6668","RM 2,800"
"PSD 3000","RM 3,300"
"PSD 990","RM 2,900"
"PSD 778","RM 2,900"
"PSD 110","RM 3,300"
"PSD 2288","RM 3,300"
"PSD 383","RM 3,300"
"PSD 339","RM 2,900"
"PSD 288","RM 3,800"
"JEG32","RM 11,888"
"VK9999","RM 46,800"
"BQN 9889","RM 2,300"
"PQS 77","RM 29,800"
"BSB 3311","RM 3,300"
"VHF 199","RM 3,000"
"VX 9990","RM 1,600"
"G 3914","RM 3,300"
"ANU 2228","RM 1,900"
"WDU 70","RM 7,800"
"VHJ 8989","RM 1,580"
"RAH 338","RM 2,800"
"PQF 338","RM 2,800"
"NCF 777","RM 14,800"
"WYA 62","RM 8,800"
"DFP 16","RM 15,800"
"RBE 2","RM 99,800"
"KE 6788","RM 7,900"
"WL3339","RM 8,900"
"KA3333","RM 42,800"
"MP 9992","RM 8,900"
"DJ 8388","RM 14,800"
"TQ9995","RM 4,900"
"TJ6611","RM 9,800"
"PR8883","RM 12,800"
"QL 316","RM 8,800"
"F7488","RM 7,488"
"WAQ 33","RM 30,000"
"RW 2","RM 439,800"
"BLS 1","RM 419,800"
"CDV 9","RM 159,800"
"ANL 8","RM 119,800"
"ADL 7","RM 139,800"
"WJW 3","RM 198,800"
"VEB 888","RM 27,800"
"VIPS 196","RM 3,800"
"BRY 166","RM 3,800"
"UUU 9793","RM 1,800"
"UUU 6155","RM 1,800"
"UM 3328","RM 2,800"
"WYK 121","RM 2,800"
"TDG 9988","RM 3,800"
"TDG 9898","RM 3,800"
"TDG 8998","RM 3,800"
"TDG 8988","RM 3,800"
"TDG 2266","RM 3,800"
"TDG 2211","RM 3,800"
"TDG 2121","RM 3,800"
"TDG 63","RM 14,800"
"VQU 6262","RM 3,800"
"VQU 2255","RM 3,800"
"VQU 6666","RM 12,800"
"TDG88","RM 31,800"
"DDH 4","RM 45,800"
"RAU 5555","RM 9,800"
"M 4519 M","RM 3,000"
"A 9451 A","RM 3,000"
"FD 3491","RM 3,000"
"VIP 3149","RM 3,000"
"SK 93","RM 45,800"
"Q 62","RM 219,800"
"SYX 8","RM 129,800"
"JH 8181","RM 19,800"
"JH 3311","RM 19,800"
"JHF 6666","RM 15,900"
"ALD 92","RM 9,800"
"JUR 788","RM 5,800"
"VJQ 353","RM 4,800"
"WC 96 Y","RM 15,800"
"SU 96 Q","RM 15,800"
"SU 68 Q","RM 14,800"
"QM 31 U","RM 11,800"
"PSD 3333","RM 11,800"
"JQX 8558","RM 4,800"
"TDD 8686","RM 6,800"
"QLG 8686","RM 4,800"
"CFC 8686","RM 6,800"
"APA 8686","RM 6,800"
"APD 2828","RM 5,300"
"APD 2323","RM 5,300"
"BSH 1010","RM 5,300"
"JYK 228","RM 7,300"
"PRY 89","RM 11,800"
"JYJ 4444","RM 13,800"
"SU 22 P","RM 18,800"
"PHE 3","RM 89,800"
"VQU111","RM 13,800"
"JUP 26","RM 18,800"
"FH 118","RM 18,800"
"NEF 97","RM 7,800"
"QDC 91","RM 9,800"
"VNT 83","RM 10,300"
"QDC 70","RM 7,800"
"QDC 56","RM 6,800"
"Q 53","RM 188,800"
"VNT 52","RM 8,300"
"RBA 30","RM 9,300"
"QDC 29","RM 9,800"
"QDC 23","RM 14,800"
"QDC 7777","RM 12,300"
"QDC 1111","RM 11,800"
"VNT 555","RM 14,300"
"QMJ 100","RM 7,800"
"JSA 9229","RM 1,800"
"GOLD 1168","RM 9,900"
"GM 1168","RM 8,800"
"GM 511","RM 9,000"
"GM 131","RM 12,800"
"QS 999","RM 68,800"
"MCM 999","RM 42,800"
"RBE 9911","RM 3,800"
"RBE 9000","RM 3,800"
"RBE 1199","RM 3,800"
"RBE 1133","RM 3,800"
"RBE 1122","RM 3,800"
"RBE 36","RM 12,800"
"VQT 39","RM 8,800"
"VDJ 2828","RM 4,300"
"VQT 12","RM 15,800"
"VQS 10","RM 25,300"
"VQT 33","RM 28,800"
"NT 881","RM 6,800"
"NU 119","RM 7,300"
"WWV 21","RM 19,800"
"RBE 8888","RM 14,800"
"RBE 777","RM 14,800"
"WNE 68","RM 13,300"
"UNISZA 4","RM 39,800"
"F 65","RM 198,000"
"Y 56","RM 238,000"
"RBC 11","RM 28,800"
"APC 11","RM 29,800"
"CFD 99","RM 39,000"
"SU99Q","RM 23,800"
"SU77Q","RM 17,800"
"APK31","RM 9,800"
"APK26","RM 10,800"
"APK66","RM 21,800"
"APK23","RM 12,800"
"PSD55","RM 18,800"
"PSD86","RM 9,800"
"PSD8888","RM 15,800"
"PSD17","RM 12,800"
"PSD66","RM 21,800"
"VQS17","RM 13,800"
"VQS89","RM 10,800"
"JYU82","RM 9,800"
"JYU33","RM 32,800"
"JYU999","RM 20,800"
"BST98","RM 10,798"
"SJR17","RM 12,300"
"SJR89","RM 9,800"
"VCQ 5","RM 79,800"
"KDX 9","RM 128,000"
"VPH 686","RM 2,300"
"CS168","POA"
"SJ213","RM 5,900"
"BRY90","RM 15,900"
"MK 728","RM 9,700"
"TDE6","RM 93,999"
"PJB63","RM 12,999"
"J939","POA"
"C333","POA"
"WMA6","POA"
"KA9","POA"
"EK33","POA"
"TC88","POA"
"KC1","POA"
"WPL3","POA"
"RBE 9999","RM 14,300"
"RBE 777","RM 14,800"
"WNE 68","RM 13,300"
"UNISZA 4","RM 39,800"
"WLK 555","RM 11,300"
"NT 881","RM 6,800"
"CU 330","RM 6,800"
"NU 119","RM 7,300"
"CJ 110","RM 8,800"
"WWV 21","RM 19,800"
"VIPS 999","RM 38,800"
"MK 718","RM 9,700"
"JWT 86","RM 47,000"
"MEE777","RM 38,800"
"BQS777","RM 38,800"
"JM 728","RM 7,700"
"AP 8822","RM 8,500"
"AJC12","RM 13,800"
"WDB66","RM 27,800"
"NR111","RM 50,800"
"NA37","RM 40,800"
"M6663","RM 36,800"
"KDU22","RM 22,000"
"DU3333","RM 40,800"
"D633","RM 45,800"
"BW111","RM 50,800"
"QLE 21","RM 15,800"
"BSF 1331","RM 5,000"
"NBS 888","RM 29,900"
"PMK 21","RM 19,900"
"JWP 96","RM 24,800"
"JVW 6","RM 139,800"
"AMY 8808","RM 16,800"
"SYY 77","RM 59,800"
"JQU 69","RM 20,800"
"JQM 36","RM 15,800"
"WYB 83","RM 15,800"
"FH 766","RM 9,999"
"JJV 8888","RM 39,800"
"JSN 999","RM 28,800"
"WRK 8","RM 129,800"
"WRF 8","RM 159,800"
"WFN 8","RM 159,800"
"KBF 8","RM 149,800"
"DX 30","RM 58,800"
"BD 10","RM 168,000"
"TJ 818","RM 26,800"
"PKS 4","RM 44,800"
"WWP 4","RM 79,800"
"WRV 123","RM 8,900"
"WLY 13","RM 27,800"
"WFF 58","RM 14,800"
"VE 43","RM 38,800"
"SYX 13","RM 21,800"
"RAX 13","RM 24,800"
"PBH 9","RM 148,000"
"MAK 84","RM 23,800"
"AAA 4174","RM 23,800"
"WAJ 889","RM 10,900"
"TX 28","RM 99,800"
"TH 700","RM 21,800"
"TD 63","RM 78,800"
"RB 72","RM 53,800"
"NQ 6000","RM 21,800"
"ND 86","RM 73,800"
"NAA 78","RM 39,800"
"JX 67","RM 73,800"
"JBP 25","RM 13,900"
"CN 92","RM 49,800"
"BCS 4","RM 48,800"
"WS 1000","RM 26,800"
"SD 47","RM 38,800"
"CR 25","RM 53,800"
"RA 26","RM 83,800"
"UC 65","RM 30,800"
"UC 58","RM 30,800"
"VIP 2282","RM 9,800"
"VA 338","RM 16,800"
"WNE 99","RM 44,800"
"VPW 63","RM 14,900"
"PHF 55","RM 26,800"
"QRW 18","RM 20,900"
"QDC 11","RM 32,800"
"ADL 3","RM 103,800"
"W6U","RM 360,700"
"VG1","RM 1,485,000"
"VN1","RM 1,485,000"
"DDD2228","RM 4,300"
"SMQ9","RM 140,700"
"QCC9","RM 260,700"
"VR1","RM 1,485,000"
"SMP3","RM 83,800"
"VQQ80","RM 18,800"
"QM9J","RM 79,999"
"VQT5","RM 93,999"
"KGD5","RM 88,999"
"JLW6","RM 128,000"
"DFP 18","RM 20,800"
"DFP 23","RM 13,300"
"DFP 25","RM 8,300"
"DFP 26","RM 12,300"
"DFP 27","RM 12,300"
"DFP 28","RM 16,300"
"DFP 39","RM 8,800"
"DFP 68","RM 12,800"
"DFP 69","RM 9,300"
"DFP 81","RM 9,300"
"DFP 98","RM 10,300"
"DFP 168","RM 5,300"
"DFP 222","RM 10,300"
"DFP 555","RM 11,300"
"DFP 999","RM 19,300"
"DFP 1111","RM 10,800"
"DFP 3333","RM 9,300"
"SU 22 Q","RM 14,800"
"SU 27 Q","RM 9,800"
"SU 55 Q","RM 15,300"
"SU 100 Q","RM 6,800"
"SU 168 Q","RM 4,800"
"SU 555 Q","RM 8,800"
"SU 668 Q","RM 3,300"
"SU 899 Q","RM 3,800"
"SU 999 Q","RM 14,800"
"SU 1111 Q","RM 8,300"
"SU 9999 Q","RM 11,800"
"Q 58","RM 178,000"
"DFP 6868","RM 4,900"
"VQT 6868","RM 5,500"
"VQT 3388","RM 4,200"
"VQS 2626","RM 4,800"
"VQS 1199","RM 4,800"
"VQS 328","RM 4,800"
"VQS 83","RM 11,800"
"VQS 26","RM 17,800"
"VQS 18","RM 28,800"
"BST 19","RM 20,800"
"FH 9992","RM 4,800"
"FH 8881","RM 4,800"
"FH 8558","RM 6,800"
"FH 6633","RM 7,800"
"FH 6226","RM 6,800"
"FH 6060","RM 6,800"
"FH 3322","RM 8,800"
"FH 3311","RM 8,800"
"FH 3233","RM 4,800"
"FH 3133","RM 4,800"
"FH 2828","RM 16,800"
"FH 1133","RM 9,800"
"FH 747","RM 6,800"
"FH 188","RM 16,800"
"FH 128","RM 16,800"
"PSA 18","RM 22,800"
"PGY 18","RM 26,800"
"MV 99","RM 168,000"
"DEP 9696","RM 3,800"
"DEP 83","RM 10,800"
"VQT 95","RM 12,800"
"APK 13","RM 23,800"
"VQS 999","RM 25,800"
"VQS 80","RM 13,800"
"BST 288","RM 6,500"
"BST 118","RM 9,800"
"BST 18","RM 26,800"
"QM999U","RM 12,800"
"ANY1000","RM 4,800"
"DFH 22","RM 22,800"
"SP3381","RM 2,800"
"JYE1881","RM 3,800"
"X89","RM 388,000"
"JYD96","RM 17,800"
"VQ99","RM 199,000"
"DFP 27","RM 12,300"
"DFP 26","RM 12,300"
"DFP 25","RM 8,300"
"DFP 23","RM 13,300"
"DFP 18","RM 20,800"
"TN 86","RM 58,800"
"SAS 7","RM 448,000"
"CBF 288","RM 4,388"
"VMV 3808","RM 1,200"
"VMV 3613","RM 1,200"
"VMV 2163","RM 1,000"
"VMV 1878","RM 1,300"
"VMV 1650","RM 1,000"
"VMV 9842","RM 1,000"
"VMV 9492","RM 1,000"
"VMV 9392","RM 1,000"
"VMV 9238","RM 1,000"
"VMV 7866","RM 1,000"
"VMV 7710","RM 1,000"
"VMV 7503","RM 1,000"
"VMV 7500","RM 1,200"
"VMV 7455","RM 1,000"
"VMV 7313","RM 1,000"
"VMV 7228","RM 1,300"
"VMV 7110","RM 1,000"
"VMV 6909","RM 1,000"
"VMV 6411","RM 1,000"
"VMV 6396","RM 1,000"
"VMV 6285","RM 1,000"
"DFP88","RM 29,800"
"JX 728","RM 7,700"
"SMR 7","RM 98,000"
"PKW55","RM 26,888"
"CFA7","RM 93,999"
"APK5","RM 99,999"
"VQT 16","RM 13,500"
"VQT 12","RM 15,800"
"VQS 10","RM 25,300"
"VQT 2222","RM 8,300"
"VQS 777","RM 16,800"
"VQT 33","RM 28,800"
"VQS 11","RM 35,800"
"JYU 69","RM 11,800"
"JYU 68","RM 15,800"
"JYU 63","RM 12,800"
"JYU 3333","RM 11,800"
"SJR 22","RM 20,300"
"QTU 87","RM 7,800"
"WWQ 61","RM 9,300"
"BHR 52","RM 6,300"
"TBA 333","RM 13,300"
"QS 11 V","RM 24,800"
"DFP17","RM 12,800"
"KBA 8","RM 108,800"
"VMV 5461","RM 1,000"
"VMV 5224","RM 1,000"
"VPQ 8111","RM 3,500"
"APD 5000","RM 3,800"
"APD 1616","RM 3,800"
"VPQ 8866","RM 3,800"
"VQP 8118","RM 4,500"
"APD 6969","RM 3,800"
"APD 3838","RM 3,800"
"APD 1221","RM 3,500"
"APD 3223","RM 3,800"
"APD 6333","RM 3,500"
"APD 2112","RM 3,800"
"VPQ 6333","RM 3,500"
"WPU 11","RM 43,800"
"APD 2332","RM 3,800"
"APD 1221","RM 3,500"
"VPQ 8111","RM 3,500"
"VQP 8118","RM 4,500"
"VPQ 8866","RM 3,800"
"VMV 4776","RM 1,000"
"VMV 4707","RM 1,000"
"VMV 3876","RM 1,000"
"VMV 3813","RM 1,000"
